Column1,Column2,Column3,Column4,Column5
Interval=,0.05 s,,,
ExcelDateTime=,4.4355478776009855e+004,8/06/2021 11:29:26.247252,,
TimeFormat=,StartOfBlock,,,
DateFormat=,,,,
ChannelTitle=,TCD,DCS/trNIRS,ECG,HR
Range=,10.000 V,5.000 V,20.000 mV,105.5050 BPM
UnitName=,cm/s,*,*,*
TopValue=,160.00,*,*,*
BottomValue=,-160.00,*,*,*
55.5,49.9347,0.004665625,-0.04232956,75.10014
55.55,48.3544,0.004621875,-0.01886398,75.10014
55.6,47.3684,0.004634375,0.00362761,75.10014
55.65,67.8222,0.00468125,0.07286092,75.10014
55.7,88.0217,0.004653125,0.1573685,75.10014
55.75,83.2965,0.004678125,-0.02903719,75.10014
55.8,75.9635,0.004696875,-0.06752713,75.10014
55.85,72.9163,0.004609375,-0.06748415,75.10014
55.9,64.0921,0.004778125,-0.04968842,75.10014
55.95,62.0549,0.00481875,-0.04680969,75.10014
56,65.5733,0.004415625,-0.04142134,75.10014
56.05,64.5312,0.003296875,-0.03665984,75.10014
56.1,59.3617,0.00304375,-0.03062495,75.10014
56.15,57.6406,0.00308125,-0.01562862,75.10014
56.2,55.006,0.002975,0.05965191,75.10014
56.25,52.6908,0.0030125,0.1129982,75.8382
56.3,52.4597,0.00305625,-0.02451815,77.31434
56.35,50.1408,0.00295,-0.0007444742,77.31434
56.4,48.5116,0.00289375,0.04418424,77.31434
56.45,62.8718,2.05005,0.1265432,77.31434
56.5,84.8015,5.003591,0.1891244,77.31434
56.55,84.6629,5.003406,-0.01137668,77.31434
56.6,75.083,5.003225,-0.04521281,77.31434
56.65,72.6205,5.003316,-0.03663678,77.31434
56.7,64.3574,5.003275,-0.02646349,77.31434
56.75,64.2985,5.0035,-0.02428242,77.31434
56.8,67.2,5.0034,-0.01804569,77.31434
56.85,63.5616,5.003269,-0.02100204,77.31434
56.9,57.9178,5.004209,-0.005055709,77.31434
56.95,58.0321,5.004294,-0.02481569,77.31434
57,53.9803,5.004334,0.2489997,77.69868
57.05,51.6817,5.004366,-0.07367239,78.46737
57.1,50.918,5.004362,-0.03699274,78.46737
57.15,49.1962,5.004463,-0.0122368,78.46737
57.2,58.52,5.004372,0.01669737,78.46737
57.25,86.3713,5.004403,0.1247945,78.46737
57.3,90.7179,5.004391,0.04394851,78.46737
57.35,84.6736,5.004519,-0.08348694,78.46737
57.4,82.16,5.004547,-0.07744612,78.46737
57.45,74.6753,5.004547,-0.06594747,78.46737
57.5,67.5549,5.004566,-0.05044408,78.46737
57.55,66.5413,5.004594,-0.05452368,78.46737
57.6,68.3667,5.004566,-0.05491021,78.46737
57.65,65.8799,5.004566,-0.03286934,78.46737
57.7,60.7834,5.004609,-0.03947642,78.46737
57.75,56.2674,5.004669,0.129192,77.99576
57.8,55.3607,5.004562,-1.427901e-005,77.05255
57.85,53.6588,5.004581,-0.05597054,77.05255
57.9,50.7789,5.004625,-0.03838354,77.05255
57.95,52.6076,5.004584,-0.0110383,77.05255
58,77.7158,5.004537,0.07721216,77.05255
58.05,92.4101,5.004522,0.08382401,77.05255
58.1,86.484,5.004522,-0.07069465,77.05255
58.15,80.1885,5.004581,-0.09440248,77.05255
58.2,76.7858,5.004587,-0.08458399,77.05255
58.25,66.913,5.004622,-0.06999323,77.05255
58.3,67.7336,5.004597,-0.06130486,77.05255
58.35,67.7384,5.004575,-0.05143774,77.05255
58.4,64.6054,5.004435,-0.04934833,77.05255
