Interval=	0.1 s						
ExcelDateTime=	4.43E+04	47:56.7					
TimeFormat=	StartOfBlock						
DateFormat=							
ChannelTitle=	Finger Pressure	Systolic	Mean Arterial	Diastolic	Heart Rate	DCS 1cm (e-09)	DCS 3cm (e-09)
Range=	400 mmHg	400 mmHg	400 mmHg	400 mmHg	400 beats/min	400 BFI	400 BFI
0.1	121.2	150	102	87	74	3.009055984	9.010621103
0.2	129.25	150	102	87	74	6.301624337	11.96607108
0.3	113.45	150	102	87	74	4.700945493	5.992132397
0.4	107.9	150	102	87	74	3.023247389	6.99556361
0.5	105.25	150	102	87	74	2.550765251	9.01359055
0.6	95.35	152.6	102	87	76.6	2.197827638	5.510162505
0.7	93.1	154	102	87	78	2.426611585	4.197435915
0.8	90.65	154	102	87	78	2.253360144	4.730139484
0.9	113.35	154	102	87	78	1.717549422	5.47987796
1	138.25	154	102	87	78	6.151917685	7.925936406
1.1	120	154	102	87	78	5.590179615	13.6881449
1.2	109.35	154	102	87	78	3.060913923	4.459135611
1.3	110.1	154	102	87	78	2.80352796	7.93698311
1.4	99.95	153.05	103.9	87.95	78	3.324525569	6.844583668
1.5	95.75	153	104	88	78	2.4308493	6.849349747
1.6	92.85	153	104	88	78	2.953839513	5.327040548
1.7	88.7	153	104	88	78	1.901308789	4.338831484
1.8	114.5	153	104	88	78	2.060774643	3.451552595
1.9	136.55	153	104	88	78	6.805957047	13.06669631
2	117.7	153	104	88	78	5.624983547	7.093837128
2.1	108.25	153	104	88	78	2.887116806	4.850155955
2.2	108.4	153	104	88	78	2.414223345	6.753704904
2.3	97.4	153	104	88	78	1.974498555	4.595704741
2.4	94.35	149.5	105.4	88.7	73.8	2.119926211	3.616502241
2.5	92.8	148	106	89	72	1.97825635	3.193786677
2.6	89.5	148	106	89	72	2.23033703	4.952226388
2.7	111.8	148	106	89	72	2.555616845	3.658676253
2.8	131.35	148	106	89	72	6.014114597	10.86869778
2.9	109.15	148	106	89	72	4.339164501	6.169546958
3	106.7	148	106	89	72	2.679249314	4.922089689
3.1	103.8	148	107.6	90.6	68	2.153712145	6.344057244
3.2	94.35	148	108	91	67	2.130026055	5.129990246
3.3	92.5	148	108	91	67	2.245845199	4.246873892
3.4	91.25	148	108	91	67	2.501534623	3.498759517
3.5	89.15	148	108	91	67	2.007494842	3.145887878
3.6	127.8	148	108	91	67	3.016093699	3.350299831
3.7	120.8	148	108	91	67	5.661530702	8.387809486
3.8	106.85	148	108	91	67	3.089557784	7.654427736
3.9	109.35	148	108	91	67	2.102693066	3.837318978
4	101.1	148.75	106.5	88.75	66.25	1.985123725	6.691048519
4.1	94.5	149	106	88	66	2.337438689	3.570087676
4.2	93.45	149	106	88	66	2.298073442	4.6150035
4.3	90.7	149	106	88	66	1.366253556	3.918356768
4.4	119.9	149	106	88	66	2.258561873	4.839927354
