Interval=,0.1 s,,,,,,,
ExcelDateTime=,4.43E+04,47:56.7,,,,,,
TimeFormat=,StartOfBlock,,,,,,,
DateFormat=,,,,,,,,
ChannelTitle=,Finger Pressure,Systolic,Mean Arterial,Diastolic,Heart Rate,DCS 1cm,DCS 3cm,
Range=,400 mmHg,400 mmHg,400 mmHg,400 mmHg,400 beats/min,400 BFI,400 BFI,
0.1,121.2,150,102,87,74,3.01E-09,9.01E-09,
0.2,129.25,150,102,87,74,6.30E-09,1.20E-08,#* start DCS 
0.3,113.45,150,102,87,74,4.70E-09,5.99E-09,
0.4,107.9,150,102,87,74,3.02E-09,7.00E-09,
0.5,105.25,150,102,87,74,2.55E-09,9.01E-09,
0.6,95.35,152.6,102,87,76.6,2.20E-09,5.51E-09,
0.7,93.1,154,102,87,78,2.43E-09,4.20E-09,
0.8,90.65,154,102,87,78,2.25E-09,4.73E-09,
0.9,113.35,154,102,87,78,1.72E-09,5.48E-09,
1,138.25,154,102,87,78,6.15E-09,7.93E-09,
1.1,120,154,102,87,78,5.59E-09,1.37E-08,
1.2,109.35,154,102,87,78,3.06E-09,4.46E-09,
1.3,110.1,154,102,87,78,2.80E-09,7.94E-09,
1.4,99.95,153.05,103.9,87.95,78,3.32E-09,6.84E-09,
1.5,95.75,153,104,88,78,2.43E-09,6.85E-09,
1.6,92.85,153,104,88,78,2.95E-09,5.33E-09,
1.7,88.7,153,104,88,78,1.90E-09,4.34E-09,
1.8,114.5,153,104,88,78,2.06E-09,3.45E-09,
1.9,136.55,153,104,88,78,6.81E-09,1.31E-08,
2,117.7,153,104,88,78,5.62E-09,7.09E-09,
2.1,108.25,153,104,88,78,2.89E-09,4.85E-09,
2.2,108.4,153,104,88,78,2.41E-09,6.75E-09,
2.3,97.4,153,104,88,78,1.97E-09,4.60E-09,
2.4,94.35,149.5,105.4,88.7,73.8,2.12E-09,3.62E-09,
2.5,92.8,148,106,89,72,1.98E-09,3.19E-09,
2.6,89.5,148,106,89,72,2.23E-09,4.95E-09,
2.7,111.8,148,106,89,72,2.56E-09,3.66E-09,
2.8,131.35,148,106,89,72,6.01E-09,1.09E-08,
2.9,109.15,148,106,89,72,4.34E-09,6.17E-09,
3,106.7,148,106,89,72,2.68E-09,4.92E-09,
3.1,103.8,148,107.6,90.6,68,2.15E-09,6.34E-09,
3.2,94.35,148,108,91,67,2.13E-09,5.13E-09,
3.3,92.5,148,108,91,67,2.25E-09,4.25E-09,
3.4,91.25,148,108,91,67,2.50E-09,3.50E-09,
3.5,89.15,148,108,91,67,2.01E-09,3.15E-09,
3.6,127.8,148,108,91,67,3.02E-09,3.35E-09,
3.7,120.8,148,108,91,67,5.66E-09,8.39E-09,
3.8,106.85,148,108,91,67,3.09E-09,7.65E-09,
3.9,109.35,148,108,91,67,2.10E-09,3.84E-09,
