Interval=	0.001 s
ExcelDateTime=	4.4588644429292355e+004	1/27/2022 15:27:58.69086
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	BraBP	TCD (cm/s)
Range=	100.00 mV	10.000 V	10.000 V
UnitName=	*	mmHg	cm/s
TopValue=	*	621.60	160
BottomValue=	*	-584.98	-160
56.7	1.546875	68.68378	96.24725
56.701	1.5125	68.75919	96.24225
56.702	1.48125	68.62722	96.23225
56.703	1.496875	68.7969	96.24725
56.704	1.528125	68.70263	96.23225
56.705	1.56875	68.8346	96.25726
56.706	1.553125	68.75919	96.23225
56.707	1.55625	68.77805	96.24225
56.708	1.565625	68.81575	96.24225
56.709	1.621875	68.81575	96.24225
56.71	1.61875	68.89116	96.24225
56.711	1.621875	68.85346	96.24225
56.712	1.615625	68.94772	96.24225
56.713	1.578125	69.07969	93.23082
56.714	1.578125	69.17396	93.24583
56.715	1.615625	69.30593	93.23583
56.716	1.615625	69.40019	93.23583
56.717	1.590625	69.49446	93.24083
56.718	1.571875	69.45675	93.24083
56.719	1.546875	69.68298	93.23082
56.72	1.56875	69.72069	93.24083
56.721	1.596875	69.94692	93.23082
56.722	1.615625	70.09775	93.24083
56.723	1.603125	70.34284	93.24083
56.724	1.571875	70.60678	93.24083
56.725	1.578125	70.70104	93.25083
56.726	1.6125	71.0781	93.23082
56.727	1.64375	71.30433	93.22582
56.728	1.596875	71.7191	93.24083
56.729	1.55	72.00189	94.73654
56.73	1.60625	72.32239	94.73654
56.731	1.584375	72.69945	94.72653
56.732	1.590625	73.0388	94.74154
56.733	1.55625	73.60439	94.73154
56.734	1.528125	74.01915	94.74654
56.735	1.503125	74.39621	94.74154
56.736	1.484375	74.92409	94.73654
56.737	1.471875	75.41426	94.73654
56.738	1.578125	75.94214	94.75154
56.739	1.540625	76.47002	94.73154
56.74	1.53125	77.05446	94.74154
56.741	1.50625	77.52579	94.72653
56.742	1.55	78.20449	94.74154
56.743	1.61875	78.77008	94.73654
56.744	1.596875	79.39222	94.73154
56.745	1.5625	79.93896	93.23583
56.746	1.546875	80.57995	93.22582
56.747	1.509375	81.40948	93.24583
56.748	1.525	82.08818	93.24083
56.749	1.528125	82.76689	93.23082
56.75	1.515625	83.42674	93.24583
56.751	1.5	84.162	93.25083
56.752	1.4625	84.93497	93.25083
56.753	1.490625	85.59482	93.23583
56.754	1.465625	86.38664	93.23082
56.755	1.475	87.02764	93.24583
56.756	1.49375	87.83832	93.24083
56.757	1.46875	88.55473	93.23583
56.758	1.490625	89.25228	93.23082
56.759	1.503125	89.94984	93.24583
56.76	1.521875	90.70395	94.61648
56.761	1.528125	91.38266	94.73154
56.762	1.509375	92.09907	94.74154
56.763	1.471875	92.75892	94.74654
56.764	1.4875	93.32451	94.74154
56.765	1.484375	94.00321	94.72653
56.766	1.490625	94.71962	94.74154
56.767	1.421875	95.20979	94.74154
