Interval=	0.05 s
ExcelDateTime=	4.4588648064983885e+004	27/01/2022 15:33:12.814608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	BraBP	TCD (cm/s)	ETCO2	LBNP Pressure	MAP
Range=	10.000 V	10.000 V	100.0000 mmHg	200.0 mV	100.0000 mmHg
UnitName=	mmHg	cm/s	*	*	*
TopValue=	621.60	160	*	*	*
BottomValue=	-584.98	-160	*	*	*
19.4	73.04634	59.44103	0.2616313	1.940625	80.31591
19.45	71.85861	58.60013	0.2616313	1.94125	80.31591
19.5	71.04228	61.066	0.2616313	1.942875	80.31591
19.55	70.05325	101.2471	0.2616313	1.939125	80.31591
19.6	69.16566	104.1912	0.2616313	1.939625	80.31591
19.65	79.46763	94.68602	0.2616313	1.94025	80.31591
19.7	100.1251	91.9187	0.2616313	1.939	80.85095
19.75	100.1873	86.50624	0.2616313	1.937	81.92102
19.8	94.96395	76.35003	0.2616313	1.93575	81.92102
19.85	89.73756	78.51466	0.2616313	1.938625	81.92102
19.9	84.70346	80.56153	0.2616313	1.94125	81.92102
19.95	81.85969	78.27454	0.2616313	1.93775	81.92102
20	82.94486	76.59065	0.2616313	1.932625	81.92102
20.05	84.16841	74.24603	0.2616313	1.940875	81.92102
20.1	83.14696	68.40897	0.2616313	1.934125	81.92102
20.15	80.72587	67.68683	0.2608483	1.933625	81.92102
20.2	78.21543	64.98175	0.2592822	1.932875	81.92102
20.25	76.37651	64.14105	0.2592822	1.938875	81.92102
20.3	74.82643	62.03135	0.2592822	1.931375	81.92102
20.35	73.70581	59.86293	0.2592822	1.93075	81.92102
20.4	72.93209	87.65318	0.2592822	1.940375	81.92102
20.45	72.39554	106.8088	0.2592822	1.932625	81.92102
20.5	71.64218	95.94942	0.2592822	1.9365	81.92102
20.55	70.93142	92.94229	0.2592822	1.93575	81.92102
20.6	83.02254	90.11555	0.2592822	1.934625	81.92102
20.65	100.6628	77.61363	0.2592822	1.938375	82.46994
20.7	99.20812	81.39832	0.2592822	1.935125	83.56777
20.75	93.40746	82.8414	0.2592822	1.935625	83.56777
20.8	88.69801	77.91397	0.2592822	1.93225	83.56777
20.85	83.59378	76.46989	0.2592822	1.932875	83.56777
20.9	82.42075	74.30577	0.2592822	1.932875	83.56777
20.95	84.56018	70.69725	0.2592822	1.935875	83.56777
21	85.22644	67.92704	0.2584992	1.94375	83.56777
21.05	83.36679	69.13142	0.2569331	1.94075	83.56777
21.1	80.87406	63.11426	0.2569331	1.9355	83.56777
21.15	78.70673	61.30951	0.2569331	1.936375	83.56777
21.2	77.4236	79.95584	0.2569331	1.9365	83.56777
21.25	76.32825	109.9392	0.2569331	1.934875	83.56777
21.3	75.61486	98.83708	0.2569331	1.938875	83.56777
21.35	74.587	100.7633	0.2569331	1.93775	83.56777
21.4	73.33291	92.94299	0.2569331	1.937625	83.56777
21.45	79.32699	84.76401	0.2569331	1.937125	83.56777
21.5	101.2499	86.26573	0.2569331	1.937125	84.41628
21.55	102.1692	84.70469	0.2569331	1.935	86.11329
21.6	97.46196	82.72275	0.2569331	1.936625	86.11329
21.65	91.89848	81.76079	0.2569331	1.9405	86.11329
21.7	86.06841	77.07007	0.2569331	1.93675	86.11329
21.75	83.53458	73.58342	0.2444045	1.937875	86.11329
21.8	86.17851	72.05129	0.2193472	1.9355	86.11329
21.85	87.50273	68.34864	0.2193472	1.9405	86.11329
21.9	85.62687	67.08485	0.2193472	1.933625	86.11329
21.95	82.90301	67.80789	0.2193472	1.932375	86.11329
22	80.65612	64.55705	0.2193472	1.93325	86.11329
22.05	79.29343	63.59519	0.2193472	1.937875	86.11329
22.1	78.30026	100.7078	0.2193472	1.9375	86.11329
22.15	77.12384	104.5511	0.2193472	1.933625	86.11329
22.2	75.62655	101.5734	0.2193472	1.9395	86.11329
22.25	79.52683	102.6863	0.2193472	1.944125	86.11329
22.3	102.754	93.78309	0.2193472	1.939875	86.80545
